,Wasserstein_hclust
ERMS0,Outlier
ERMS1,Embryonal RMS
ERMS5,Embryonal RMS
ERMS8,Embryonal RMS
ERMS2,Embryonal RMS
ERMS3,Embryonal RMS
ERMS6,Embryonal RMS
ERMS4,Embryonal RMS
ERMS7,Embryonal RMS
OST26,Osteosarcoma
OST18,Osteosarcoma
OST5,Osteosarcoma
OST9,Osteosarcoma
OST23,Osteosarcoma
OST19,Osteosarcoma
OST3,Osteosarcoma
OST6,Osteosarcoma
OST16,Osteosarcoma
OST11,Osteosarcoma
OST21,Osteosarcoma
OST15,Osteosarcoma
OST7,Osteosarcoma
OST22,Osteosarcoma
OST24,Osteosarcoma
EWS1,Osteosarcoma
OST20,Osteosarcoma
OST0,Osteosarcoma
OST25,Osteosarcoma
OST14,Osteosarcoma
OST17,Osteosarcoma
OST2,Osteosarcoma
OST12,Osteosarcoma
OST10,Osteosarcoma
OST13,Osteosarcoma
OST1,Osteosarcoma
OST8,Osteosarcoma
OST4,Osteosarcoma
OST27,Osteosarcoma
OST28,Osteosarcoma
EWS8,Ewing Sarcoma
EWS3,Ewing Sarcoma
EWS5,Ewing Sarcoma
EWS11,Ewing Sarcoma
EWS0,Ewing Sarcoma
EWS4,Ewing Sarcoma
EWS2,Ewing Sarcoma
EWS9,Ewing Sarcoma
EWS10,Ewing Sarcoma
EWS6,Ewing Sarcoma
EWS7,Ewing Sarcoma
DSRCT15,DSRCT
DSRCT6,DSRCT
DSRCT10,DSRCT
DSRCT1,DSRCT
DSRCT7,DSRCT
DSRCT4,DSRCT
DSRCT0,DSRCT
DSRCT2,DSRCT
DSRCT9,DSRCT
DSRCT5,DSRCT
DSRCT12,DSRCT
DSRCT17,DSRCT
DSRCT14,DSRCT
DSRCT16,DSRCT
DSRCT19,DSRCT
DSRCT13,DSRCT
DSRCT18,DSRCT
DSRCT11,DSRCT
DSRCT3,DSRCT
DSRCT8,DSRCT
